                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64614,                 5.2415,                 1.1782,                0.00042,                   0.05,                0.00202,                0.00151,                 1.2641,                 4.8449,                 1.1923,                      0,                      0,                      0
                      2,                 1.0005,                 5.3107,                  1.368,                0.00042,                   0.05,                0.00185,                0.00118,                 1.2899,                 4.8299,                 1.2083,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                0.92229,                  5.485,                 1.4001,                0.00042,                   0.05,                0.00203,                0.00131,                 1.2875,                 4.8317,                 1.2135,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 0.7835,                 5.3519,                 1.2029,                0.00056,                0.06667,                0.00217,                0.00134,                  1.294,                 4.8227,                  1.215,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.88947,                 5.4814,                 1.2075,                0.00056,                0.06667,                0.00217,                0.00154,                 1.3009,                  4.814,                 1.2121,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.96835,                 5.2623,                 1.4177,                0.00056,                0.06667,                0.00217,                0.00154,                 1.3129,                 4.8123,                 1.2198,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.1081,                 5.8278,                 1.3089,                0.00056,                0.06667,                0.00239,                0.00171,                 1.3071,                 4.8105,                 1.2206,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.62318,                 5.4345,                 1.2033,                0.00056,                0.06667,                 0.0024,                 0.0017,                 1.3048,                 4.8094,                 1.2211,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.0061,                 5.2313,                 1.3598,                0.00056,                0.06667,                  0.002,                 0.0014,                 1.3052,                 4.8044,                 1.2236,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                  0.919,                 5.3243,                 1.3183,                0.00056,                0.06667,                0.00154,                0.00103,                 1.2924,                 4.8136,                 1.2246,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.89968,                 5.2773,                 1.2329,                0.00042,                   0.05,                0.00123,                0.00086,                 1.2819,                 4.8117,                 1.2174,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.71247,                 5.4343,                 1.2031,                0.00042,                   0.05,                0.00129,                0.00092,                 1.2801,                 4.8114,                 1.2205,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.69228,                 5.3684,                 1.1584,                0.00042,                   0.05,                0.00117,                0.00085,                  1.277,                 4.8088,                 1.2159,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                0.94879,                 5.2567,                 1.4202,                0.00042,                   0.05,                0.00101,                0.00073,                 1.2657,                 4.8442,                 1.2098,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                  1.068,                 5.7095,                 1.3116,                0.00042,                   0.05,                0.00095,                0.00069,                 1.2713,                 4.8491,                 1.2123,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.94281,                 5.2968,                 1.4383,                0.00042,                   0.05,                0.00098,                0.00072,                  1.268,                 4.8606,                 1.2107,             1.5199e-05,             1.5199e-05,             1.5199e-05
