                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84464,                 1.8709,                 1.1638,                0.57288,                   0.85,                0.87817,                0.63479,                 1.6412,                 1.0707,                 1.3781,                      0,                      0,                      0
                      2,                 1.0553,                 1.9763,                 1.4346,                0.56911,                   0.85,                0.88609,                0.63567,                 1.6535,                 1.0601,                  1.377,             1.0722e-06,             1.0722e-06,             1.0722e-06
                      3,                0.89929,                 1.7686,                 1.1221,                0.59627,                   0.85,                0.84905,                0.63339,                 1.6613,                 1.0634,                 1.3808,             1.9088e-06,             1.9088e-06,             1.9088e-06
                      4,                0.83262,                 1.4956,                0.99672,                0.62667,                   0.85,                 0.8501,                0.65024,                 1.6402,                 1.0296,                  1.367,             2.5097e-06,             2.5097e-06,             2.5097e-06
                      5,                0.99693,                 2.0095,                 1.1601,                0.64904,                   0.85,                0.85286,                0.65142,                 1.5999,                 1.0158,                 1.3466,              2.875e-06,              2.875e-06,              2.875e-06
                      6,                0.97789,                 1.6046,                 1.2359,                0.68646,                0.89147,                0.90258,                 0.6564,                 1.5871,                 1.0082,                 1.3346,             3.0048e-06,             3.0048e-06,             3.0048e-06
                      7,                0.93409,                 2.7882,                 1.3762,                 0.7242,                0.93333,                0.92915,                0.66106,                 1.5866,                 1.0078,                 1.3275,             2.8988e-06,             2.8988e-06,             2.8988e-06
                      8,                0.86099,                 1.7978,                 1.2599,                0.73066,                0.93333,                0.93072,                0.64514,                   1.59,                  1.002,                 1.3291,             2.5573e-06,             2.5573e-06,             2.5573e-06
                      9,                0.93724,                 1.8051,                 1.1934,                0.73001,                0.93333,                0.93564,                0.63879,                  1.578,                 1.0012,                 1.3245,             1.9802e-06,             1.9802e-06,             1.9802e-06
                     10,                0.88001,                 2.1762,                 1.2611,                0.65413,                   0.85,                0.86248,                0.63199,                 1.5759,                 1.0079,                 1.3208,             1.1674e-06,             1.1674e-06,             1.1674e-06
